Loss_in,Loss_out,Accuracy
0.403,0.170,94.0
0.176,0.137,95.1
0.132,0.121,96.1
0.117,0.111,96.9
0.106,0.086,97.1
0.097,0.098,97.1
0.088,0.070,97.8
0.080,0.086,97.3
0.074,0.079,98.0
0.068,0.079,97.8
0.066,0.077,97.8
0.062,0.073,97.7
0.065,0.063,97.7
0.055,0.107,97.6
0.061,0.114,97.8
0.057,0.068,98.3
0.058,0.073,98.0
0.054,0.089,98.2
0.056,0.131,97.7
0.062,0.096,97.9
0.054,0.086,97.9
0.058,0.076,98.1
0.047,0.075,98.0
0.048,0.077,98.1
0.055,0.067,98.3
0.046,0.088,98.0
0.053,0.098,98.3
0.048,0.085,98.2
0.045,0.109,98.3
0.050,0.099,98.2
0.053,0.113,98.0
0.053,0.093,98.3
0.049,0.116,98.4
0.052,0.084,98.4
0.051,0.070,98.6
0.049,0.113,98.2
0.049,0.118,98.1
0.047,0.117,98.2
0.056,0.070,98.7
0.057,0.186,97.9
0.048,0.091,98.3
0.045,0.098,98.3
0.063,0.132,98.2
0.050,0.106,98.4
0.045,0.101,98.3
0.045,0.105,98.6
0.048,0.129,98.4
0.047,0.098,98.2
0.055,0.101,98.4
0.047,0.151,98.3
0.050,0.153,98.3
0.049,0.132,98.3
0.055,0.248,97.7
0.048,0.145,98.2
0.052,0.179,98.2
0.046,0.108,98.4
0.045,0.132,98.3
0.054,0.142,98.0
0.045,0.144,98.0
0.046,0.144,98.4
0.059,0.132,98.1
0.051,0.282,97.5
0.048,0.130,98.1
0.052,0.141,98.6
0.047,0.112,98.4
0.051,0.129,98.4
0.047,0.123,98.5
0.051,0.141,98.2
0.041,0.147,98.3
0.049,0.179,98.3
0.050,0.158,98.6
0.057,0.167,98.4
0.054,0.163,98.3
0.044,0.114,98.6
0.048,0.124,98.3
